case_id,velocity_mm_s,energy_J_mm,thickness_mm,passes,w_exp_mm,w_pred_mm,error_mm,eps0,T_peak_K,eps0_model
1,6.0,600.0,14.0,1,5.785,4.907230106802076,-0.8777698931979243,0.06,1173.586259317832,"C=0.06,a=0.35,b=0.0,p=0.325,delta=0.02,k_energy=0.43,k_single=0.33"
6,11.0,600.0,14.0,2,7.712,9.898746475927718,2.186746475927718,0.0612,1176.900187977216,"C=0.06,a=0.35,b=0.0,p=0.325,delta=0.02,k_energy=0.43,k_single=0.33"
87,12.0,1000.0,10.0,2,13.506,13.485618139060563,-0.0203818609394375,0.05823480354743023,1388.4762579880462,"C=0.06,a=0.35,b=0.0,p=0.325,delta=0.02,k_energy=0.43,k_single=0.33"
90,15.0,1000.0,10.0,1,11.322,11.302593658968538,-0.019406341031460883,0.09764494272658723,1376.4543284958845,"C=0.06,a=0.35,b=0.0,p=0.325,delta=0.02,k_energy=0.43,k_single=0.33"

pass parmeters to model: k_single=0.33 k_energy=0.43, delta=0.02
