case_id,velocity_mm_s,energy_J_mm,thickness_mm,passes,w_exp_mm,w_pred_mm,error_mm,eps0,T_peak_K,eps0_model
1,6.0,600.0,14.0,1,5.785,4.907230106802076,-0.8777698931979243,0.06,1173.586259317832,"C=0.06,a=0.35,b=0.0,p=0.325,delta=0.02,k_energy=0.43"
87,12.0,1000.0,10.0,2,13.506,13.485618139060563,-0.0203818609394375,0.05823480354743023,1388.4762579880462,"C=0.06,a=0.35,b=0.0,p=0.325,delta=0.02,k_energy=0.43"
90,15.0,1000.0,10.0,1,11.322,9.265201123697157,-2.0567988763028424,0.08003683830048135,1376.4543284958845,"C=0.06,a=0.35,b=0.0,p=0.325,delta=0.02,k_energy=0.43"
