case_id,velocity_mm_s,energy_q0,target_Tmax_K,thickness_mm,passes,gaussian_beta,bc,eps0,inh_sigma,inh_zfrac,T_max_global,w_min,w_max,max_deflection
001,6.0,24.269626582248822,1173.15,14.0,1,3.0,centerline_fixed,0.041046806758304404,7.0,0.2,1173.586259317832,-0.3721989880320032,3.358885797439241,3.358885797439241
006,11.0,25.346643658167046,1173.15,14.0,2,3.0,centerline_fixed,0.04925616810996528,7.0,0.2,1176.900187977216,-0.8772173850657389,7.967804482827408,7.967804482827408
087,12.0,33.04351056080797,1373.15,10.0,2,3.0,centerline_fixed,0.06827126547536154,7.0,0.2,1388.4762579880462,-2.490814829110227,15.80867599838467,15.80867599838467
090,15.0,37.608906060079725,1373.15,10.0,1,3.0,centerline_fixed,0.05689272122946796,7.0,0.2,1376.4543284958845,-1.0383334178412233,6.587249527370189,6.587249527370189
